date,temperature_2m,humidity,precipitation_probability,soil_temperature,soil_moisture,latitude,longitude,location,risk
2026-05-04 18:30:00+00:00,29.6,42.31356,0.0,29.15,0.076,15.1394,76.9214,Ballari,Normal
2026-05-04 19:30:00+00:00,28.4,54.511948,0.0,28.2,0.077,15.1394,76.9214,Ballari,Normal
2026-05-04 20:30:00+00:00,27.8,59.531017,0.0,27.6,0.078,15.1394,76.9214,Ballari,Normal
2026-05-04 21:30:00+00:00,27.3,61.298126,0.0,27.0,0.079,15.1394,76.9214,Ballari,Normal
2026-05-04 22:30:00+00:00,26.45,63.641075,0.0,26.05,0.081,15.1394,76.9214,Ballari,Normal
2026-05-04 23:30:00+00:00,26.1,66.40252,0.0,25.65,0.082,15.1394,76.9214,Ballari,Normal
2026-05-05 00:30:00+00:00,26.6,66.50462,0.0,27.7,0.084,15.1394,76.9214,Ballari,Normal
2026-05-05 01:30:00+00:00,28.0,60.322445,0.0,31.85,0.085,15.1394,76.9214,Ballari,Normal
2026-05-05 02:30:00+00:00,30.1,48.338478,0.0,36.85,0.084,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 03:30:00+00:00,32.55,37.16262,0.0,40.9,0.082,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 04:30:00+00:00,34.5,31.250525,0.0,44.5,0.079,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 05:30:00+00:00,36.6,24.768293,0.0,47.65,0.075,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 06:30:00+00:00,38.05,19.737364,0.0,48.75,0.072,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 07:30:00+00:00,39.15,16.939875,0.0,50.2,0.07,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 08:30:00+00:00,39.6,15.562826,0.0,50.05,0.068,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 09:30:00+00:00,39.05,15.338796,0.0,46.75,0.068,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 10:30:00+00:00,38.55,15.598127,0.0,44.75,0.067,15.1394,76.9214,Ballari,Drought Risk
2026-05-05 11:30:00+00:00,38.0,15.74447,0.0,41.15,0.067,15.1394,76.9214,Ballari,Drought Risk
